country,year,migration_no,iso_alpha
Morocco,1979,26,MAR
Cook Islands,1979,37,COK
Jordan,1979,37,JOR
Christmas Island,1979,39,CXR
Tanzania,1979,40,TZA
Seychelles,1979,49,SYC
Bangladesh,1979,54,BGD
Belgium,1979,60,BEL
Colombia,1979,62,COL
Norway,1979,65,NOR
Brazil,1979,70,BRA
Tonga,1979,88,TON
Syria,1979,90,SYR
Zambia,1979,97,ZMB
Bulgaria,1979,103,BGR
Myanmar,1979,107,MMR
Kenya,1979,114,KEN
Pakistan,1979,115,PAK
Japan,1979,119,JPN
Peru,1979,133,PER
Sweden,1979,139,SWE
Finland,1979,153,FIN
Thailand,1979,196,THA
Mauritius,1979,203,MUS
Israel,1979,204,ISR
Austria,1979,210,AUT
Egypt,1979,215,EGY
Iraq,1979,215,IRQ
Denmark,1979,237,DNK
Portugal,1979,250,PRT
Iran,1979,272,IRN
Uruguay,1979,278,URY
Spain,1979,301,ESP
Sri Lanka,1979,301,LKA
Cyprus,1979,305,CYP
Zimbabwe,1979,383,ZWE
Hungary,1979,397,HUN
Korea,1979,397,PRK
Fiji,1979,400,FJI
France,1979,405,FRA
Papua New Guinea,1979,430,PNG
Switzerland,1979,435,CHE
Chile,1979,480,CHL
Singapore,1979,503,SGP
Malta,1979,512,MLT
Argentina,1979,531,ARG
Romania,1979,572,ROU
Cambodia,1979,583,KHM
Ireland,1979,600,IRL
Indonesia,1979,631,IDN
Canada,1979,726,CAN
Hong Kong,1979,799,HKG
Turkey,1979,830,TUR
India,1979,844,IND
Greece,1979,861,GRC
Lebanon,1979,967,LBN
Italy,1979,1044,ITA
Netherlands,1979,1197,NLD
United States of America,1979,1332,USA
Poland,1979,1337,POL
Malaysia,1979,1585,MYS
Philippines,1979,2013,PHL
South Africa,1979,2765,ZAF
Viet Nam,1979,12915,VNM
New Zealand,1979,13181,NZL
United Kingdom,1979,16738,GBR
Ukraine,1980,5,UKR
Cocos (Keeling) Is,1980,5,CCK
Luxembourg,1980,5,LUX
Monaco,1980,5,MCO
Oman,1980,5,OMN
Qatar,1980,5,QAT
Yemen,1980,5,YEM
Angola,1980,5,AGO
Botswana,1980,5,BWA
Côte d'Ivoire,1980,5,CIV
Congo,1980,5,COG
Ethiopia,1980,5,ETH
Gambia,1980,5,GMB
Liberia,1980,5,LBR
Madagascar,1980,5,MDG
Mali,1980,5,MLI
Niger,1980,5,NGA
Reunion,1980,5,REU
Senegal,1980,5,SEN
Sierra Leone,1980,5,SLE
Somalia,1980,5,SOM
Zaire,1980,5,AGO
Maldives,1980,5,MDV
Nepal,1980,5,NPL
Bahamas,1980,5,BHS
El Salvador,1980,5,SLV
Falkland Islands,1980,5,FLK
Haiti,1980,5,HTI
Honduras,1980,5,HND
Nicaragua,1980,5,NIC
Panama,1980,5,PAN
Paraguay,1980,5,PRY
Puerto Rico,1980,5,PRI
Suriname,1980,5,SUR
Estonia,1980,6,EST
Mozambique,1980,6,MOZ
Saudi Arabia,1980,7,SAU
Malawi,1980,7,MWI
Guatemala,1980,7,GTM
Lithuania,1980,8,LTU
French Polynesia,1980,8,PYF
Kiribati,1980,8,KIR
Norfolk Island,1980,8,NFK
Costa Rica,1980,8,CRI
Bahrain,1980,9,BHR
Bolivia,1980,9,BOL
Gibraltar,1980,10,GIB
Bermuda,1980,10,BMU
Barbados,1980,10,BRB
United Arab Emirates,1980,11,ARE
Nauru,1980,12,NRU
Kuwait,1980,12,KWT
Latvia,1980,14,LVA
Iceland,1980,15,ISL
Solomon Islands,1980,16,SLB
Sudan,1980,16,SDN
Brunei,1980,16,BRN
Guyana,1980,16,GUY
Tunisia,1980,18,TUN
Venezuela,1980,19,VEN
Christmas Island,1980,21,CXR
Nigeria,1980,21,NGA
Mexico,1980,21,MEX
Albania,1980,22,ALB
Algeria,1980,22,DZA
Uganda,1980,22,UGA
Jordan,1980,23,JOR
Vanuatu,1980,25,VUT
Ecuador,1980,25,ECU
Trinidad and Tobago,1980,26,TTO
Morocco,1980,27,MAR
Jamaica,1980,28,JAM
Bangladesh,1980,29,BGD
Ghana,1980,30,GHA
New Caledonia,1980,34,NCL
Afghanistan,1980,35,AFG
Seychelles,1980,36,SYC
Tanzania,1980,36,TZA
Libya,1980,41,LBY
Cuba,1980,45,CUB
Colombia,1980,52,COL
Cook Islands,1980,73,COK
Bulgaria,1980,75,BGR
Brazil,1980,76,BRA
Norway,1980,78,NOR
Syria,1980,92,SYR
Myanmar,1980,100,MMR
Tonga,1980,110,TON
Zambia,1980,113,ZMB
Peru,1980,115,PER
Belgium,1980,138,BEL
Kenya,1980,149,KEN
Uruguay,1980,200,URY
Korea,1980,204,PRK
Thailand,1980,209,THA
Finland,1980,215,FIN
Pakistan,1980,223,PAK
Israel,1980,233,ISR
Mauritius,1980,252,MUS
Egypt,1980,255,EGY
Sweden,1980,262,SWE
Japan,1980,274,JPN
Austria,1980,276,AUT
Argentina,1980,311,ARG
Sri Lanka,1980,333,LKA
Iraq,1980,355,IRQ
Iran,1980,360,IRN
Cyprus,1980,400,CYP
Papua New Guinea,1980,438,PNG
Chile,1980,441,CHL
France,1980,556,FRA
Singapore,1980,561,SGP
Switzerland,1980,563,CHE
Fiji,1980,565,FJI
Denmark,1980,588,DNK
Portugal,1980,616,PRT
Hungary,1980,683,HUN
Spain,1980,708,ESP
Romania,1980,731,ROU
Zimbabwe,1980,732,ZWE
Lebanon,1980,741,LBN
Hong Kong,1980,775,HKG
Canada,1980,815,CAN
Ireland,1980,979,IRL
Greece,1980,1005,GRC
Turkey,1980,1005,TUR
India,1980,1009,IND
Malta,1980,1337,MLT
Indonesia,1980,1358,IDN
United States of America,1980,1695,USA
Italy,1980,1696,ITA
Malaysia,1980,1865,MYS
Cambodia,1980,1938,KHM
Netherlands,1980,2037,NLD
Philippines,1980,2792,PHL
Poland,1980,2914,POL
South Africa,1980,3254,ZAF
Viet Nam,1980,12172,VNM
New Zealand,1980,17387,NZL
United Kingdom,1980,31465,GBR
Albania,1981,5,ALB
Estonia,1981,5,EST
Cocos (Keeling) Is,1981,5,CCK
Palau,1981,5,PLW
Greenland,1981,5,GRL
Liechtenstein,1981,5,LIE
Luxembourg,1981,5,LUX
Monaco,1981,5,MCO
Oman,1981,5,OMN
Qatar,1981,5,QAT
Côte d'Ivoire,1981,5,CIV
Congo,1981,5,COG
Djibouti,1981,5,DJI
Guinea,1981,5,GIN
Lesotho,1981,5,LSO
Liberia,1981,5,LBR
Madagascar,1981,5,MDG
Niger,1981,5,NGA
Reunion,1981,5,REU
Senegal,1981,5,SEN
Sierra Leone,1981,5,SLE
Somalia,1981,5,SOM
Mongolia,1981,5,MNG
Maldives,1981,5,MDV
Nepal,1981,5,NPL
Barbados,1981,5,BRB
Belize,1981,5,BLZ
Cuba,1981,5,CUB
Dominican Republic,1981,5,DOM
El Salvador,1981,5,SLV
Guadeloupe,1981,5,FRA
Guatemala,1981,5,GTM
Panama,1981,5,PAN
Puerto Rico,1981,5,PRI
Suriname,1981,5,SUR
Ukraine,1981,6,UKR
Nicaragua,1981,6,NIC
Nauru,1981,7,NRU
Angola,1981,7,AGO
Bahamas,1981,7,BHS
Falkland Islands,1981,7,FLK
Honduras,1981,7,HND
Martinique,1981,7,MTQ
French Polynesia,1981,8,PYF
Zaire,1981,8,AGO
Yemen,1981,9,YEM
Solomon Islands,1981,10,SLB
Gibraltar,1981,10,GIB
Botswana,1981,10,BWA
Costa Rica,1981,10,CRI
Norfolk Island,1981,11,NFK
Bermuda,1981,11,BMU
Latvia,1981,12,LVA
Lithuania,1981,12,LTU
Kuwait,1981,12,KWT
Ethiopia,1981,12,ETH
Kiribati,1981,13,KIR
Paraguay,1981,13,PRY
Tunisia,1981,14,TUN
United Arab Emirates,1981,14,ARE
Bolivia,1981,15,BOL
Christmas Island,1981,16,CXR
Bahrain,1981,16,BHR
Libya,1981,17,LBY
Venezuela,1981,17,VEN
Saudi Arabia,1981,18,SAU
Nigeria,1981,18,NGA
Iceland,1981,19,ISL
Mozambique,1981,19,MOZ
Sudan,1981,21,SDN
Jamaica,1981,21,JAM
Algeria,1981,22,DZA
Malawi,1981,26,MWI
Vanuatu,1981,28,VUT
Mexico,1981,29,MEX
Trinidad and Tobago,1981,29,TTO
Ecuador,1981,30,ECU
Guyana,1981,32,GUY
Jordan,1981,33,JOR
Ghana,1981,33,GHA
Uganda,1981,33,UGA
Brunei,1981,35,BRN
Bangladesh,1981,35,BGD
New Caledonia,1981,42,NCL
Morocco,1981,42,MAR
Tanzania,1981,48,TZA
Cook Islands,1981,54,COK
Seychelles,1981,54,SYC
Brazil,1981,54,BRA
Bulgaria,1981,55,BGR
Norway,1981,67,NOR
Afghanistan,1981,67,AFG
Colombia,1981,84,COL
Myanmar,1981,105,MMR
Peru,1981,121,PER
Syria,1981,136,SYR
Finland,1981,147,FIN
Kenya,1981,160,KEN
Zambia,1981,163,ZMB
Belgium,1981,171,BEL
Uruguay,1981,175,URY
Japan,1981,197,JPN
Tonga,1981,209,TON
Pakistan,1981,215,PAK
Israel,1981,222,ISR
Mauritius,1981,230,MUS
Egypt,1981,248,EGY
Sweden,1981,250,SWE
Chile,1981,280,CHL
Thailand,1981,299,THA
Austria,1981,343,AUT
Iran,1981,388,IRN
Argentina,1981,446,ARG
Iraq,1981,454,IRQ
Cyprus,1981,464,CYP
Romania,1981,500,ROU
Hungary,1981,526,HUN
Sri Lanka,1981,538,LKA
Papua New Guinea,1981,551,PNG
France,1981,594,FRA
Korea,1981,717,PRK
Switzerland,1981,735,CHE
Singapore,1981,759,SGP
Denmark,1981,771,DNK
Fiji,1981,821,FJI
Turkey,1981,831,TUR
Zimbabwe,1981,872,ZWE
Lebanon,1981,894,LBN
Canada,1981,967,CAN
Portugal,1981,988,PRT
Malta,1981,991,MLT
Spain,1981,1112,ESP
Greece,1981,1140,GRC
Hong Kong,1981,1295,HKG
Italy,1981,1381,ITA
Ireland,1981,1384,IRL
India,1981,1475,IND
Indonesia,1981,1520,IDN
United States of America,1981,1900,USA
Cambodia,1981,2154,KHM
Malaysia,1981,2393,MYS
Netherlands,1981,2408,NLD
Philippines,1981,3251,PHL
South Africa,1981,3332,ZAF
Poland,1981,5732,POL
Viet Nam,1981,11088,VNM
New Zealand,1981,11637,NZL
United Kingdom,1981,36994,GBR
Albania,1982,5,ALB
Estonia,1982,5,EST
Latvia,1982,5,LVA
Lithuania,1982,5,LTU
Ukraine,1982,5,UKR
Cocos (Keeling) Is,1982,5,CCK
French Polynesia,1982,5,PYF
Nauru,1982,5,NRU
Palau,1982,5,PLW
Mauritania,1982,5,MRT
Oman,1982,5,OMN
Yemen,1982,5,YEM
Burundi,1982,5,BDI
Côte d'Ivoire,1982,5,CIV
Cameroon,1982,5,CMR
Congo,1982,5,COG
Equatorial Guinea,1982,5,GNQ
Liberia,1982,5,LBR
Madagascar,1982,5,MDG
Niger,1982,5,NGA
Sierra Leone,1982,5,SLE
Somalia,1982,5,SOM
Nepal,1982,5,NPL
Belize,1982,5,BLZ
Dominican Republic,1982,5,DOM
Falkland Islands,1982,5,FLK
Guatemala,1982,5,GTM
Haiti,1982,5,HTI
Nicaragua,1982,5,NIC
Puerto Rico,1982,5,PRI
Norfolk Island,1982,6,NFK
Luxembourg,1982,7,LUX
Lesotho,1982,7,LSO
Honduras,1982,7,HND
Zaire,1982,8,AGO
Bahamas,1982,8,BHS
Gibraltar,1982,9,GIB
Botswana,1982,9,BWA
Bermuda,1982,9,BMU
Paraguay,1982,9,PRY
United Arab Emirates,1982,10,ARE
El Salvador,1982,10,SLV
Guyana,1982,10,GUY
Panama,1982,10,PAN
Christmas Island,1982,11,CXR
Bahrain,1982,11,BHR
Tunisia,1982,11,TUN
Barbados,1982,11,BRB
Iceland,1982,12,ISL
Saudi Arabia,1982,12,SAU
Costa Rica,1982,12,CRI
Jamaica,1982,12,JAM
Kiribati,1982,13,KIR
Mozambique,1982,13,MOZ
Bolivia,1982,13,BOL
Ethiopia,1982,14,ETH
Ghana,1982,14,GHA
Nigeria,1982,15,NGA
Ecuador,1982,15,ECU
Vanuatu,1982,17,VUT
Libya,1982,17,LBY
Solomon Islands,1982,19,SLB
Malawi,1982,20,MWI
Algeria,1982,21,DZA
Cuba,1982,21,CUB
Sudan,1982,22,SDN
Kuwait,1982,23,KWT
Trinidad and Tobago,1982,24,TTO
Venezuela,1982,24,VEN
Angola,1982,27,AGO
Uganda,1982,29,UGA
Bulgaria,1982,31,BGR
Jordan,1982,31,JOR
Tanzania,1982,35,TZA
Morocco,1982,36,MAR
Cook Islands,1982,37,COK
Bangladesh,1982,41,BGD
Brunei,1982,42,BRN
Mexico,1982,42,MEX
Seychelles,1982,55,SYC
Colombia,1982,57,COL
New Caledonia,1982,63,NCL
Norway,1982,65,NOR
Zambia,1982,90,ZMB
Iraq,1982,94,IRQ
Syria,1982,95,SYR
Afghanistan,1982,97,AFG
Peru,1982,103,PER
Brazil,1982,113,BRA
Myanmar,1982,126,MMR
Israel,1982,128,ISR
Finland,1982,131,FIN
Uruguay,1982,135,URY
Tonga,1982,139,TON
Kenya,1982,158,KEN
Pakistan,1982,164,PAK
Belgium,1982,165,BEL
Japan,1982,225,JPN
Thailand,1982,236,THA
Sweden,1982,261,SWE
Egypt,1982,263,EGY
Cyprus,1982,277,CYP
Mauritius,1982,284,MUS
Austria,1982,363,AUT
Malta,1982,390,MLT
Papua New Guinea,1982,395,PNG
Hungary,1982,435,HUN
Iran,1982,463,IRN
Turkey,1982,490,TUR
Chile,1982,493,CHL
Greece,1982,503,GRC
Argentina,1982,535,ARG
Italy,1982,572,ITA
France,1982,573,FRA
Sri Lanka,1982,580,LKA
Korea,1982,588,PRK
Fiji,1982,589,FJI
Spain,1982,613,ESP
Singapore,1982,623,SGP
Romania,1982,628,ROU
Denmark,1982,640,DNK
Lebanon,1982,675,LBN
Switzerland,1982,744,CHE
Zimbabwe,1982,762,ZWE
Indonesia,1982,869,IDN
Canada,1982,955,CAN
Ireland,1982,1142,IRL
Portugal,1982,1285,PRT
Hong Kong,1982,1369,HKG
Netherlands,1982,1564,NLD
India,1982,1673,IND
United States of America,1982,1803,USA
Malaysia,1982,1937,MYS
Philippines,1982,2735,PHL
South Africa,1982,2758,ZAF
Cambodia,1982,4070,KHM
Poland,1982,4095,POL
New Zealand,1982,6867,NZL
Viet Nam,1982,8690,VNM
United Kingdom,1982,26444,GBR
Albania,1983,5,ALB
Estonia,1983,5,EST
Ukraine,1983,5,UKR
Cocos (Keeling) Is,1983,5,CCK
Nauru,1983,5,NRU
Palau,1983,5,PLW
Gibraltar,1983,5,GIB
Monaco,1983,5,MCO
Oman,1983,5,OMN
Qatar,1983,5,QAT
Yemen,1983,5,YEM
Botswana,1983,5,BWA
Burundi,1983,5,BDI
Cameroon,1983,5,CMR
Equatorial Guinea,1983,5,GNQ
Liberia,1983,5,LBR
Mali,1983,5,MLI
Niger,1983,5,NGA
Senegal,1983,5,SEN
Sierra Leone,1983,5,SLE
Somalia,1983,5,SOM
Zaire,1983,5,AGO
Maldives,1983,5,MDV
Nepal,1983,5,NPL
Bermuda,1983,5,BMU
Barbados,1983,5,BRB
Belize,1983,5,BLZ
Dominican Republic,1983,5,DOM
Falkland Islands,1983,5,FLK
French Guiana,1983,5,GUF
Honduras,1983,5,HND
Paraguay,1983,5,PRY
Puerto Rico,1983,5,PRI
Suriname,1983,5,SUR
Kiribati,1983,6,KIR
Panama,1983,6,PAN
Tunisia,1983,7,TUN
Haiti,1983,7,HTI
Luxembourg,1983,8,LUX
Nigeria,1983,8,NGA
Latvia,1983,9,LVA
Christmas Island,1983,9,CXR
Norfolk Island,1983,11,NFK
Vanuatu,1983,11,VUT
French Polynesia,1983,12,PYF
Iceland,1983,12,ISL
Angola,1983,13,AGO
Ghana,1983,14,GHA
Malawi,1983,14,MWI
Bahamas,1983,14,BHS
Costa Rica,1983,14,CRI
Guyana,1983,14,GUY
Jamaica,1983,14,JAM
Cuba,1983,15,CUB
Lithuania,1983,17,LTU
Algeria,1983,17,DZA
Libya,1983,17,LBY
Mozambique,1983,18,MOZ
Cook Islands,1983,19,COK
Madagascar,1983,19,MDG
Bahrain,1983,20,BHR
United Arab Emirates,1983,20,ARE
Uganda,1983,21,UGA
Kuwait,1983,23,KWT
Saudi Arabia,1983,23,SAU
Guatemala,1983,23,GTM
Trinidad and Tobago,1983,24,TTO
Bolivia,1983,25,BOL
Solomon Islands,1983,26,SLB
Venezuela,1983,26,VEN
Ecuador,1983,29,ECU
Sudan,1983,31,SDN
Morocco,1983,32,MAR
Bangladesh,1983,34,BGD
Colombia,1983,38,COL
Bulgaria,1983,40,BGR
Brunei,1983,42,BRN
Mexico,1983,42,MEX
New Caledonia,1983,45,NCL
Norway,1983,46,NOR
Nicaragua,1983,52,NIC
Jordan,1983,64,JOR
Seychelles,1983,64,SYC
Finland,1983,66,FIN
Peru,1983,67,PER
Tanzania,1983,69,TZA
Zambia,1983,74,ZMB
Brazil,1983,83,BRA
Ethiopia,1983,96,ETH
Belgium,1983,100,BEL
Afghanistan,1983,101,AFG
Sweden,1983,127,SWE
Myanmar,1983,128,MMR
Tonga,1983,133,TON
Pakistan,1983,142,PAK
Israel,1983,145,ISR
Austria,1983,148,AUT
Denmark,1983,167,DNK
Syria,1983,175,SYR
Spain,1983,186,ESP
Kenya,1983,187,KEN
Argentina,1983,201,ARG
Japan,1983,204,JPN
Uruguay,1983,263,URY
Cyprus,1983,273,CYP
Thailand,1983,276,THA
Switzerland,1983,277,CHE
Iraq,1983,304,IRQ
Hungary,1983,305,HUN
Malta,1983,318,MLT
Papua New Guinea,1983,322,PNG
Egypt,1983,350,EGY
Zimbabwe,1983,397,ZWE
France,1983,411,FRA
El Salvador,1983,426,SLV
Mauritius,1983,434,MUS
Portugal,1983,482,PRT
Italy,1983,501,ITA
Fiji,1983,543,FJI
Korea,1983,557,PRK
Netherlands,1983,570,NLD
Singapore,1983,573,SGP
Iran,1983,575,IRN
Greece,1983,630,GRC
Chile,1983,682,CHL
Ireland,1983,683,IRL
Romania,1983,695,ROU
Turkey,1983,729,TUR
Canada,1983,784,CAN
Indonesia,1983,979,IDN
Lebanon,1983,1384,LBN
Sri Lanka,1983,1451,LKA
United States of America,1983,1483,USA
Poland,1983,1517,POL
India,1983,1586,IND
South Africa,1983,1637,ZAF
Malaysia,1983,1652,MYS
Cambodia,1983,1659,KHM
Hong Kong,1983,2017,HKG
Philippines,1983,2874,PHL
New Zealand,1983,5771,NZL
Viet Nam,1983,9513,VNM
United Kingdom,1983,12954,GBR
Albania,1984,5,ALB
Estonia,1984,5,EST
Ukraine,1984,5,UKR
Cocos (Keeling) Is,1984,5,CCK
Kiribati,1984,5,KIR
Norfolk Island,1984,5,NFK
Luxembourg,1984,5,LUX
Monaco,1984,5,MCO
Mauritania,1984,5,MRT
Oman,1984,5,OMN
Tunisia,1984,5,TUN
Western Sahara,1984,5,ESH
Yemen,1984,5,YEM
Botswana,1984,5,BWA
Burundi,1984,5,BDI
Congo,1984,5,COG
Gabon,1984,5,GAB
Liberia,1984,5,LBR
Niger,1984,5,NGA
Reunion,1984,5,REU
Sierra Leone,1984,5,SLE
Zaire,1984,5,AGO
Maldives,1984,5,MDV
Bermuda,1984,5,BMU
Dominican Republic,1984,5,DOM
Falkland Islands,1984,5,FLK
Martinique,1984,5,MTQ
Panama,1984,5,PAN
Puerto Rico,1984,5,PRI
Suriname,1984,5,SUR
French Polynesia,1984,6,PYF
Latvia,1984,7,LVA
Senegal,1984,7,SEN
Paraguay,1984,7,PRY
Honduras,1984,8,HND
Lithuania,1984,9,LTU
Nauru,1984,9,NRU
Gibraltar,1984,9,GIB
Somalia,1984,9,SOM
Nepal,1984,9,NPL
Madagascar,1984,11,MDG
Malawi,1984,11,MWI
Trinidad and Tobago,1984,11,TTO
Christmas Island,1984,12,CXR
Solomon Islands,1984,12,SLB
Libya,1984,12,LBY
Iceland,1984,13,ISL
Saudi Arabia,1984,13,SAU
United Arab Emirates,1984,14,ARE
Guyana,1984,14,GUY
Barbados,1984,15,BRB
Algeria,1984,17,DZA
Ghana,1984,17,GHA
Nigeria,1984,17,NGA
Mongolia,1984,17,MNG
Costa Rica,1984,17,CRI
Vanuatu,1984,18,VUT
Bahamas,1984,18,BHS
Bolivia,1984,18,BOL
Ecuador,1984,18,ECU
Venezuela,1984,18,VEN
Mozambique,1984,20,MOZ
Haiti,1984,21,HTI
New Caledonia,1984,23,NCL
Jamaica,1984,24,JAM
Morocco,1984,25,MAR
Bulgaria,1984,28,BGR
Cuba,1984,30,CUB
Norway,1984,31,NOR
Bahrain,1984,31,BHR
Angola,1984,31,AGO
Guatemala,1984,31,GTM
Uganda,1984,34,UGA
Kuwait,1984,37,KWT
Brunei,1984,41,BRN
Seychelles,1984,42,SYC
Cook Islands,1984,44,COK
Mexico,1984,44,MEX
Sudan,1984,48,SDN
Tanzania,1984,48,TZA
Colombia,1984,51,COL
Finland,1984,52,FIN
Bangladesh,1984,55,BGD
Zambia,1984,66,ZMB
Jordan,1984,71,JOR
Peru,1984,80,PER
Belgium,1984,82,BEL
Ethiopia,1984,99,ETH
Tonga,1984,127,TON
Austria,1984,130,AUT
Kenya,1984,130,KEN
Brazil,1984,137,BRA
Nicaragua,1984,142,NIC
Denmark,1984,146,DNK
Sweden,1984,152,SWE
Iraq,1984,154,IRQ
Myanmar,1984,161,MMR
Syria,1984,166,SYR
Japan,1984,188,JPN
Pakistan,1984,200,PAK
Israel,1984,206,ISR
Argentina,1984,215,ARG
Switzerland,1984,217,CHE
Papua New Guinea,1984,219,PNG
Hungary,1984,221,HUN
Uruguay,1984,233,URY
Spain,1984,234,ESP
Afghanistan,1984,236,AFG
Cyprus,1984,256,CYP
Malta,1984,304,MLT
France,1984,327,FRA
Zimbabwe,1984,344,ZWE
Egypt,1984,392,EGY
Romania,1984,410,ROU
Mauritius,1984,427,MUS
Thailand,1984,494,THA
Netherlands,1984,497,NLD
Italy,1984,553,ITA
Korea,1984,660,PRK
Fiji,1984,670,FJI
Greece,1984,682,GRC
Ireland,1984,699,IRL
Turkey,1984,739,TUR
Singapore,1984,759,SGP
El Salvador,1984,772,SLV
Canada,1984,826,CAN
Iran,1984,901,IRN
Portugal,1984,932,PRT
Cambodia,1984,1172,KHM
Poland,1984,1263,POL
Indonesia,1984,1304,IDN
South Africa,1984,1435,ZAF
United States of America,1984,1536,USA
Chile,1984,1695,CHL
India,1984,1948,IND
Sri Lanka,1984,2315,LKA
Lebanon,1984,2382,LBN
Malaysia,1984,2413,MYS
Philippines,1984,3162,PHL
Hong Kong,1984,3289,HKG
Viet Nam,1984,8487,VNM
New Zealand,1984,9077,NZL
United Kingdom,1984,11606,GBR
Lithuania,1985,5,LTU
Christmas Island,1985,5,CXR
Cocos (Keeling) Is,1985,5,CCK
French Polynesia,1985,5,PYF
Guam,1985,5,GUM
Norfolk Island,1985,5,NFK
Palau,1985,5,PLW
Gibraltar,1985,5,GIB
Monaco,1985,5,MCO
Mauritania,1985,5,MRT
Oman,1985,5,OMN
Yemen,1985,5,YEM
Burkina Faso,1985,5,BFA
Côte d'Ivoire,1985,5,CIV
Equatorial Guinea,1985,5,GNQ
Gabon,1985,5,GAB
Guinea-Bissau,1985,5,GNB
Lesotho,1985,5,LSO
Liberia,1985,5,LBR
Rwanda,1985,5,RWA
Senegal,1985,5,SEN
Sierra Leone,1985,5,SLE
Mongolia,1985,5,MNG
Falkland Islands,1985,5,FLK
Honduras,1985,5,HND
Martinique,1985,5,MTQ
Panama,1985,5,PAN
Suriname,1985,5,SUR
Albania,1985,6,ALB
Barbados,1985,6,BRB
Haiti,1985,6,HTI
Luxembourg,1985,7,LUX
Tunisia,1985,7,TUN
Somalia,1985,7,SOM
Botswana,1985,8,BWA
Bermuda,1985,8,BMU
Zaire,1985,9,AGO
Cuba,1985,9,CUB
Kiribati,1985,10,KIR
Madagascar,1985,10,MDG
Qatar,1985,11,QAT
Guyana,1985,11,GUY
Latvia,1985,12,LVA
Nepal,1985,13,NPL
Niger,1985,14,NGA
Paraguay,1985,15,PRY
Iceland,1985,16,ISL
Algeria,1985,16,DZA
Guatemala,1985,19,GTM
Libya,1985,20,LBY
Angola,1985,21,AGO
Bolivia,1985,21,BOL
Jamaica,1985,22,JAM
Malawi,1985,23,MWI
Nigeria,1985,24,NGA
Saudi Arabia,1985,26,SAU
Vanuatu,1985,27,VUT
Bahrain,1985,27,BHR
Costa Rica,1985,27,CRI
Venezuela,1985,27,VEN
Ghana,1985,29,GHA
Morocco,1985,30,MAR
Norway,1985,31,NOR
Mozambique,1985,32,MOZ
Bulgaria,1985,34,BGR
United Arab Emirates,1985,35,ARE
Ecuador,1985,35,ECU
Solomon Islands,1985,38,SLB
Trinidad and Tobago,1985,39,TTO
Kuwait,1985,41,KWT
Uganda,1985,42,UGA
Ethiopia,1985,48,ETH
Tanzania,1985,52,TZA
Seychelles,1985,53,SYC
Mexico,1985,56,MEX
New Caledonia,1985,59,NCL
Brunei,1985,62,BRN
Bangladesh,1985,71,BGD
Sudan,1985,74,SDN
Finland,1985,75,FIN
Zambia,1985,75,ZMB
Cook Islands,1985,76,COK
Colombia,1985,81,COL
Nicaragua,1985,92,NIC
Iraq,1985,98,IRQ
Belgium,1985,115,BEL
Peru,1985,134,PER
Myanmar,1985,148,MMR
Jordan,1985,152,JOR
Tonga,1985,160,TON
Brazil,1985,167,BRA
Austria,1985,176,AUT
Kenya,1985,176,KEN
Bahamas,1985,184,BHS
Sweden,1985,194,SWE
Denmark,1985,204,DNK
Japan,1985,250,JPN
Syria,1985,254,SYR
Uruguay,1985,283,URY
Switzerland,1985,286,CHE
Pakistan,1985,287,PAK
Argentina,1985,295,ARG
Papua New Guinea,1985,300,PNG
Israel,1985,312,ISR
Hungary,1985,331,HUN
Afghanistan,1985,332,AFG
Cyprus,1985,353,CYP
France,1985,394,FRA
Zimbabwe,1985,401,ZWE
Spain,1985,419,ESP
El Salvador,1985,481,SLV
Malta,1985,546,MLT
Netherlands,1985,613,NLD
Romania,1985,616,ROU
Egypt,1985,657,EGY
Italy,1985,679,ITA
Mauritius,1985,713,MUS
Thailand,1985,776,THA
Cambodia,1985,866,KHM
Singapore,1985,870,SGP
Greece,1985,875,GRC
Canada,1985,930,CAN
Iran,1985,985,IRN
Turkey,1985,994,TUR
Portugal,1985,1001,PRT
Indonesia,1985,1083,IDN
Fiji,1985,1104,FJI
Korea,1985,1212,PRK
Poland,1985,1337,POL
Ireland,1985,1450,IRL
Sri Lanka,1985,1648,LKA
United States of America,1985,1715,USA
Chile,1985,2037,CHL
India,1985,2135,IND
Malaysia,1985,2284,MYS
Lebanon,1985,2757,LBN
Hong Kong,1985,3118,HKG
South Africa,1985,3132,ZAF
Philippines,1985,4128,PHL
Viet Nam,1985,7168,VNM
New Zealand,1985,13284,NZL
United Kingdom,1985,14709,GBR
Estonia,1986,5,EST
Latvia,1986,5,LVA
Cocos (Keeling) Is,1986,5,CCK
Nauru,1986,5,NRU
Norfolk Island,1986,5,NFK
Palau,1986,5,PLW
Liechtenstein,1986,5,LIE
Luxembourg,1986,5,LUX
Mauritania,1986,5,MRT
Western Sahara,1986,5,ESH
Burundi,1986,5,BDI
Côte d'Ivoire,1986,5,CIV
Congo,1986,5,COG
Djibouti,1986,5,DJI
Gambia,1986,5,GMB
Liberia,1986,5,LBR
Reunion,1986,5,REU
Senegal,1986,5,SEN
Maldives,1986,5,MDV
Bermuda,1986,5,BMU
Belize,1986,5,BLZ
Cuba,1986,5,CUB
Guatemala,1986,5,GTM
Haiti,1986,5,HTI
Honduras,1986,5,HND
Martinique,1986,5,MTQ
Panama,1986,5,PAN
Suriname,1986,5,SUR
Albania,1986,6,ALB
